company_name,sales_diary_company_code,company_code_sm,company_code_sap,company_type,established_date,ceo_name,address,contact_person,contact_phone,main_phone,distribution_type_sap,industry_name,main_product,transaction_start_date,payment_terms,customer_classification,website,remarks,username
크레팜 (주),C0000100,55082,1114671,,,,,,,032-583-9411,축육(가공장),,,2025-01-10,"말일 마감, 45일이내, 현금결제(영업)",기존,,,
청담축산,C0000099,40147,,,,,,,,,,,,,,기존,,,
(주) 제이에스올미트,C0000098,55076,1114666,,,,,,,031-235-0856,축육(가공장),,,2025-01-16,"10일단위 마감, 10일이내, 현금결제(영업)",기존,,,
미전푸드텍,C0000097,,,,,,,,,,,,,,,신규,,,
농업회사법인 삼주농축산,C0000096,13450,1114551,,,,,,,070-7789-8247,축육(가공장),,,2025-01-10,"10일단위 마감, 10일이내, 현금결제(영업)",기존,,,
잇츠올레(주),C0000095,40111,1114635,,,,,,,010-4712-0732,축육(가공장),,,2025-01-10,"말일 마감, 당월 말일, 현금결제(영업)",기존,,,
(주)파랑새미트,C0000094,40133,1114644,,,,,,,032-568-4316,축육(가공장),,,2025-01-14,"말일 마감, 10일이내, 현금결제(영업)",기존,,,
(주) 혜윰에프엔비 빙고푸드,C0000093,62001,1114692,,,,,,,031-365-3201,축육(실수요),,,2025-01-08,"말일 마감, 45일이내, 현금결제(영업)",기존,,,
(주) 체크메이드 (CHECKMADE INC.),C0000092,1115924,1115924,,,,,,,01031001222,축육(도매),,,2025-02-10,"10일단위 마감, 10일이내, 현금결제(영업)",신규,,,
(주) 네이처앤컬처,C0000091,40108,1114633,,,,,,,031-334-5966,축육(가공장),,,2025-06-02,"말일 마감, 15일이내, 현금결제(영업)",기존,,,
농업회사법인 (주) 봄날21,C0000090,55090,1114676,,,,,,,070-7793-0524,축육(가공장),,,2025-02-10,"말일 마감, 15일이내, 현금결제(영업)",기존,,,
대인에프앤씨(주),C0000089,55085,1114674,,,,,,,032-503-7611,축육(가공장),,,2025-01-02,"10일단위 마감, 10일이내, 현금결제(영업)",신규,,,
(주)더맛있는하루,C0000088,1114694,1114694,,,,,,,031-243-3588,축육(도매),,,2025-01-08,"10일단위 마감, 10일이내, 현금결제(영업)",기존,,,
(주)더원푸드,C0000087,68025,1115882,,,,,,,010-8988-4293,축육(도매),,,2025-02-02,"10일단위 마감, 10일이내, 현금결제(영업)",기존,,,
미성푸드,C0000086,64011,1114787,,,,,,,010-3856-3141,축육(가공장),,,2025-01-06,"말일 마감, 당월 말일, 현금결제(영업)",기존,,,
(주)더엘미트,C0000085,64104,1114829,,,,,,,010-9461-1025,축육(도매),,,,"말일 마감, 당월 말일, 현금결제(영업)",기존,,,
(주)삼우푸드,C0000084,,,,,,,,,,,,,,,신규,,,
(주) 정미트,C0000083,1116958,1116958,,,,,,,010-5756-1185,축육(가공장),,,2025-03-26,"말일 마감, 5일이내, 현금결제(영업)",기존,,,
그린미트,C0000082,40020,,,,,,,,,,,,,,신규,,,
우리미트(주),C0000081,68018,1114892,,,,,,,031-441-7157,축육(도매),,,2025-01-07,"15일단위 마감, 30일이내, 현금결제(영업)",신규,,,
안양미트,C0000080,,,,,,,,,,,,,,,신규,,,
연수축산,C0000079,M00514,,,,,,,,,,,,,,신규,,,
고부기홀딩스,C0000078,,,,,,,,,,,,,,,신규,,,
(주) 승진축산유통,C0000077,1114514,1114514,,,,,,,031-562-95301,축육(도매),,,2025-03-07,"15일단위 마감, 30일이내, 현금결제(영업)",기존,,,
(주)오렌지유통,C0000076,1114890,1114890,,,"김동관, 박종식",경기도 남양주시 와부읍 안골로25번안길 18 (도곡리),,,031-577-6129,축육(도매),,,2025-01-10,"15일단위 마감, 30일이내, 현금결제(영업)",기존,,,
(주) 스탁키퍼,C0000075,68016,1114891,,,안재현,"서울특별시 영등포구 의사당대로 83, 4,5,6,8,17,19층(여의도동, 오투타워)",,,070-4012-0786,축육(도매),,,2025-04-09,"15일단위 마감, 30일이내, 현금결제(영업)",기존,,,
농업회사법인 (주) 고기팜,C0000074,13431,1117375,,,임재홍,"서울특별시 성동구 청계천로 12가길 4-5,1층(마장동)",,,010-4920-5711,축육(도매),,,2025-05-07,"15일단위 마감, 30일이내, 현금결제(영업)",기존,,,
(주)아이푸드컴퍼니,C0000073,1114604,1114604,,,정재권,경기도 양주시 삼숭동 581-17,,,010-2613-8916,축육(도매),,,2025-01-03,"말일 마감, 15일이내, 현금결제(영업)",기존,,,
(주) 굿뉴스,C0000072,60023,1114679,,,윤준항,"전라남도 나주시 건재로 343, 2층(석현동)",,,010-2000-4767,축육(도매),,,2025-01-06,"말일 마감, 15일이내, 현금결제(영업)",기존,,,
(주) 선택글로벌,C0000071,1117132,1117132,,,박정남,"인천광역시 서구 백범로630번길 22, 2층 223호 (가좌동)",,,01038301429,축육(도매),,,2025-04-07,"15일단위 마감, 30일이내, 현금결제(영업)",신규,,,
(주)올바름미트앤푸드,C0000070,,,,,,,,,,,,,,,신규,,,
진설비엔피,C0000069,63015,,법인 또는 기타사업자,2020-11-24,박광진,경기도 용인시 처인구 남사읍 경기동로 370,,,,,육류 기타 가공 및 저장처리업 (가금류 제외),,,,신규,,,
디웰fs,C0000068,,,,,,돌우물 가공공장,,,,,,,,,신규,https://dwellfs.com/,,
(주)노엘아이엔티,C0000067,13099,1114538,,,홍창기,"경기도 하남시 미사강변중앙로 218 (망월동, 성산타워) 301호",,,031-794-6570,축육(도매),,,,"15일단위 마감, 30일이내, 현금결제(영업)",신규,,,
(주)동원푸드빌,C0000066,,,법인 또는 기타사업자,2022-08-17,송우선,"인천 서구 소담로 19, 2층 에이호 (금곡동)",,,,,육류 기타 가공 및 저장처리업 (가금류 제외),,,,신규,,,
(주) 돌우물,C0000065,64062,1114807,,,임정환,"서울특별시 강남구 강남대로128길 61, 202호(논현동)",,,031-762-7907,축육(FC),,,,"15일단위 마감, 30일이내, 현금결제(영업)",기존,,,
(주)엠원컴퍼니,C0000064,19044P,1114591,,,최현석,"경기도 남양주시 별내중앙로 30, 401-2호 (로데오몰)",,,031-528-7603,축육(도매),,,,"15일단위 마감, 30일이내, 현금결제(영업)",기존,,,
비에이치앤컴퍼니,C0000063,12215,,,,배헌,경기도고양시일산동구호수로358-25 410호(백석동 동문굿모닝타워2차),,,,,,,,,기존,,,
삼우미트앤소스,C0000062,,,개인사업자,2020-02-10,유상열,경기 하남시 하남대로232번길 15 (상산곡동),,,,,그 외 기타 식료품 제조업,,,,신규,,,
(주) 솔미트,C0000061,55034,1114657,,,유정순,"서울특별시 강서구 화곡로13길 107, 비상가동 104호(화곡동,화곡푸르지오)",,,02-2065-8924,축육(도매),,,,"15일단위 마감, 30일이내, 현금결제(영업)",기존,,,
(주) 수지미트,C0000060,1117967,1117967,,,강홍철,인천광역시 계양구 도두리로6번길 14 6층 602-9호(작전동),,,01091465620,축육(실수요),,,2025-06-09,"15일단위 마감, 30일이내, 현금결제(영업)",기존,,,
(주) 미성피앤비,C0000059,1114511,1114511,,,김정희,"서울특별시성동구무학로14길27,101호,B02호(하왕십리동,제이앤씨)",,,02-2299-0495,축육(도매),,,,"15일단위 마감, 30일이내, 현금결제(영업)",기존,,,
(주) 일우팜,C0000058,36008,1117851,,,황재석,"서울시 동대문구 천호대로 247, 206호(답십리동,메트로팰리스)",,,01046699274,축육(도매),,,2025-05-14,"15일단위 마감, 30일이내, 현금결제(영업)",기존,,,
써브엠,C0000057,D60361,,,,최지영,경기도 하남시 서하남로47번길 237-11 (감북동),,,,,,,,,기존,,,
(주) 비제이엠앤씨,C0000056,63002,1114773,,,이국래,"경기도 하남시 감북로27번길 79-3, 2층 (감북동)",,,010-5470-9389,축육(가공장),,,,"15일단위 마감, 30일이내, 현금결제(영업)",기존,,,
(주)하나에프에스,C0000055,1114792,1114792,,,송영숙,"경기도 군포시 당정로27번길 42 (당정동) (당정동, 에이스진공) 지하1층",,,031-451-9296,축육(도매),,,2025-05-14,"15일단위 마감, 30일이내, 현금결제(영업)",기존,,,
(주)얌샘(파주공장),C0000054,1114784,1114784,,,김은광,경기도 파주시 법원읍 법원리 221,,,070-4035-0929,축육(FC),,,2025-01-03,"15일단위 마감, 30일이내, 현금결제(영업)",기존,,,
(주) 클로이무역,C0000053,13148,1116118,,,정재한,"서울특별시 강동구 상암로5길 84 (암사동, JN팰리스) 201호",,,01079367720,축육(도매),,,2025-03-19,"15일단위 마감, 30일이내, 현금결제(영업)",기존,,,
(주) 삼공미트,C0000052,36056,1114624,법인 또는 기타사업자,2021-12-15,나유종,"서울 금천구 가산디지털1로 84, 1302호 (가산동,에이스하이앤드타워8차)",,,02-838-6653,축육(도매),육류 기타 가공 및 저장처리업 (가금류 제외),,,"15일단위 마감, 30일이내, 현금결제(영업)",기존,,,
(주) 더블원푸드,C0000051,63000,1114772,법인 또는 기타사업자,2024-04-25,박영범,"경기 하남시 미사강변한강로 135, 가동 2층 206호 (망월동,미사강변스카이폴리스)",,,031-699-8428,축육(FC),육류 도매업,,,"15일단위 마감, 30일이내, 현금결제(영업)",기존,,,
(주) 티드앤,C0000050,63003,1114774,법인 또는 기타사업자,2023-02-02,김성자,경기 하남시 서하남로47번길 167 (감북동),,,010-6489-9368,축육(가공장),육류 소매업,육류,,"15일단위 마감, 30일이내, 현금결제(영업)",기존,,,
가온에프엔비,C0000049,62042,,법인 또는 기타사업자,2014-04-11,김병석,"서울 송파구 동남로 128, 5층 (문정동)",,,,,육류 도매업,돈육,,,기존,,,
(주) 씨네트웍스,C0000048,63010,1114779,법인 또는 기타사업자,2016-01-15,송신명,"서울 영등포구 영등포로5길 32, 202호 (양평동2가)",,,010-2277-1727,축육(가공장),"빵류, 과자류, 당류, 초콜릿 도매업","수입과자, 식품, 소비재 등",2025-01-03,"말일 마감, 15일이내, 현금결제(영업)",기존,,,
(주)아이엠시(IMC),C0000047,55070,1114662,법인 또는 기타사업자,2019-10-24,원종호,"서울 성동구 연무장5가길 25, 4층 424호 (성수동2가,성수역에스케이브이원타워)",,,02-6451-1101,축육(도매),육류 도매업,육류,,"15일단위 마감, 30일이내, 현금결제(영업)",기존,,,
(주)엔디,C0000046,40100,1114630,법인 또는 기타사업자,2023-02-06,최세현,"경기 성남시 수정구 위례서일로 30, 2층 203호 (창곡동,위례헤리움)",,,031-994-0003,축육(도매),육류 도매업,,2025-01-08,"15일단위 마감, 30일이내, 현금결제(영업)",기존,,,
에이치에프앤씨,C0000045,,,,,,,,,,,,,,,신규,,,
(주) 티제이에프,C0000044,15023,1114566,법인 또는 기타사업자,2024-07-16,김다희,"경기 남양주시 별내중앙로 34, 5층 502-에이59 (별내동,로뎀타워)",,,070-8623-9119,축육(도매),상품 종합 도매업,,2025-01-07,"15일단위 마감, 30일이내, 현금결제(영업)",기존,,,
미야식품,C0000043,15003,1114558,개인사업자,2021-12-24,황환규,경상남도 김해시 유하로226번길 86-8 (유하동),,,010-6485-6097,축육(가공장),도매 및 소매업 / 식육,,2025-02-20,"15일단위 마감, 30일이내, 현금결제(영업)",기존,,,
(주) 디에프에스,C0000042,1116448,1116448,법인 또는 기타사업자,2012-09-26,박철승,"서울 서초구 서초중앙로2길 76, 3층 (서초동)",,,01071122276,축육(도매),음ㆍ식료품 및 담배 중개업,,2025-03-05,선입금(영업),신규,http://www.dfscorp.net/,,
(주)해밀트레이딩,C0000041,12386,1114931,법인 또는 기타사업자,2011-07-11,김준영,"서울 송파구 동남로2길 27-6, 지하1층 전체 (문정동)",,,02-2294-6900,축육(도매),육류 도매업,,2025-02-03,"말일 마감, 15일이내, 현금결제(영업)",기존,,,
㈜포네이처스,C0000040,,,법인 또는 기타사업자,2022-05-09,이광석,"서울 송파구 충민로 66, 패션관 8층 8068호 (문정동,가든파이브 라이프), 전북 익산시 왕궁면 동촌리 749-1번지 2층",,,,,육류 기타 가공 및 저장처리업 (가금류 제외),축산물육가공 제조 및 판매,,,신규,,,
(주)비오비코리아,C0000039,1114943,1114943,법인 또는 기타사업자,2018-10-23,장준호,"서울 성동구 고산자로 300, 305호 (마장동,동방빌딩)",,,02-6080-0305,축육(도매),육류 가공식품 도매업,식육류,2025-01-22,"말일 마감, 15일이내, 현금결제(영업)",기존,,,
(주) 고기장사,C0000038,1116840,1116840,법인 또는 기타사업자,2025-02-04,박철승,"경기 김포시 월곶면 군하로77번길 42, 2층 (갈산리)",,,01071122276,축육(도매),육류 기타 가공 및 저장처리업 (가금류 제외),,2025-05-13,선입금(영업),신규,,,
(주) 바론팜,C0000037,20156,1114608,법인 또는 기타사업자,2019-02-21,장도선,"서울 성동구 고산자로22길 9-1, 1층 201호 (마장동)",,,02-2295-2736,축육(도매),육류 도매업,,2025-03-12,"15일단위 마감, 30일이내, 현금결제(영업)",기존,,,
(주) 초월에프앤비,C0000036,1116827,1116827,법인 또는 기타사업자,2024-02-05,정한준,"인천 남동구 남동서로113번길 28-40(고잔동,한빛산업)",,,01029750923,축육(가공장),육류 기타 가공 및 저장처리업 (가금류 제외),육류 가공품,2025-03-24,선입금(영업),신규,,,
(주)아이푸드트레이딩,C0000035,12544,1114932,법인 또는 기타사업자,2012-05-10,전종민,경기 화성시 효행로1374번길 18-4(반월동),,,031-889-7750,축육(도매),육류 도매업,축산물,,"말일 마감, 15일이내, 현금결제(영업)",기존,,,
다올푸드,C0000034,,,법인 또는 기타사업자,2015-06-23,오순안,"경기 의정부시 시민로387번길 31-34, 1층 (용현동, 빛과사랑의교회)",,,,,그 외 기타 식료품 제조업,,,,신규,,,
(주)아이피인터내셔널(IP INTERN,C0000033,1114565,1114565,법인 또는 기타사업자,2024-07-12,박명휘,"경기 수원시 권선구 동수원로146번길 43, 202호 (곡반정동,승인빌딩)",,,031-892-7666,축육(도매),육류 도매업,,2025-01-09,"15일단위 마감, 30일이내, 현금결제(영업)",기존,,,
(주)유니푸드시스템,C0000032,19033P,1114585,법인 또는 기타사업자,2011-02-11,박채윤,"경기 광주시 경충대로 1801, 비동 428호(장지동)",,,031-564-6613,축육(도매),육류 도매업,우육 및 돈육 도소매업,,"15일단위 마감, 30일이내, 현금결제(영업)",신규,,,
헬로우팜스(주),C0000031,1114500,1114500,법인 또는 기타사업자,2019-12-03,정지준,"서울 성동구 청계천로10가길 76, 402호(마장동, 위드유빌딩)",,,02-2297-3297,축육(도매),육류 도매업,축산물,2025-05-21,"15일단위 마감, 30일이내, 현금결제(영업)",신규,,,
(주) 엠지티앤씨,C0000030,1114510,1114510,법인 또는 기타사업자,2008-11-11,조동호,서울 성동구 성수이로 89 (성수동2가),,,02-465-0801,축육(가공장),육류 도매업,축산물,,"15일단위 마감, 30일이내, 현금결제(영업)",신규,,,
(주)지티인터내셔널,C0000029,1114961,1114961,법인 또는 기타사업자,2024-06-28,오진원,"서울 동대문구 사가정로 274-7, 105호 (장안동)",,,010-7100-8334,축육(도매),육류 도매업,,2025-02-06,"말일 마감, 15일이내, 현금결제(영업)",기존,,,
(주)지앰푸드랩,C0000028,15018,1114562,법인 또는 기타사업자,2024-03-19,지정숙,"경기 하남시 미사강변서로 25, 제지하1층 제에프비147호 (풍산동,미사테스타타워지식산업센터)",,,031-8207-9095,축육(가공장),그 외 기타 식료품 제조업,,,선입금(영업),신규,https://gmfoodlab.com/,,
(주)캐비아,C0000027,68001,1114886,법인 또는 기타사업자,2020-03-27,박영식,서울 강남구 언주로 833 (신사동),,,010-7682-1106,축육(도매),그 외 기타 식료품 제조업,"식음료품 제조 및 유통, 식당 체인점, 프랜차이즈업 등",2025-04-21,"15일단위 마감, 30일이내, 현금결제(영업)",신규,https://kaviar.co.kr/,,
(주)나루푸드,C0000026,15017,1114561,법인 또는 기타사업자,2024-03-14,이희경,"경기 수원시 영통구 청명로21번길 19, 375호 (영통동,탑빌딩)",,,031-287-4464,축육(도매),육류 도매업,,,"15일단위 마감, 30일이내, 현금결제(영업)",신규,,,
(주) 태신,C0000025,1117191,1117191,법인 또는 기타사업자,2019-02-18,우종욱,"경기 용인시 기흥구 구성2로5번길 18-10, 1층 (청덕동)",,,01041364337,축육(도매),육류 도매업,,2025-04-09,선입금(영업),신규,https://taeshincorp.com/,,
(주)지앤티코퍼레이션,C0000024,1114951,1114951,법인 또는 기타사업자,2021-06-23,김수연,경기 구리시 동구릉로459번길 38 (사노동),,,031-566-1213,축육(도매),육류 도매업,,2025-01-15,"말일 마감, 15일이내, 현금결제(영업)",기존,,,
(주) 수미웰푸드,C0000023,15028,1116566,법인 또는 기타사업자,2021-10-14,이진수,"경기 광주시 옥토골길 50, 1층 (태전동)",,,010-9636-9023,축육(가공장),육류 포장육 및 냉동육 가공업 (가금류 제외),양념육 전문 육가공,2025-03-12,"10일단위 마감, 10일이내, 현금결제(영업)",기존,,,
선우프레시,C0000022,30068,,법인 또는 기타사업자,2011-12-08,조제효,"경기 성남시 분당구 미금일로90번길 36-9, 5층 (구미동)",,,,,육류 도매업,식육(쇠고기및돼지고기),,,기존,http://www.sunwoofresh.com/,,
(주) 나인미라클,C0000021,20112,1114602,법인 또는 기타사업자,2016-10-20,안성철,"서울 서초구 강남대로 381, 19층 1903호 (서초동,두산베어스텔)",,,02-3463-8688,축육(도매),육류 도매업,축산물,,"15일단위 마감, 30일이내, 현금결제(영업)",기존,,,
(주)미트미인터내셔널,C0000020,1114967,1114967,법인 또는 기타사업자,2020-01-14,김구환,"경기 과천시 관문로 92, 101동 20층 2022호 (중앙동,힐스테이트과천중앙)",,,02-6494-2151,축육(도매),육류 도매업,"육류, 축산물 등",2025-01-15,"말일 마감, 15일이내, 현금결제(영업)",기존,,,
다인홀딩스,C0000019,,,개인사업자,2016-07-01,한미선,경기 광주시 고산길 181 (고산동),,,,,육류 기타 가공 및 저장처리업 (가금류 제외),소스 및 양념육 전문 제조업체,,,기존,,,
(주)서울웰푸드,C0000018,1114557,1114557,법인 또는 기타사업자,2023-06-26,조용훈,"서울 강동구 풍성로42길 22, 4층 (성내동)",,,02-6958-9229,축육(도매),상품 종합 도매업,,2025-01-09,"15일단위 마감, 30일이내, 현금결제(영업)",기존,,,
굿프로,C0000017,,,법인 또는 기타사업자,2020-06-10,정영경,"서울 강동구 올림픽로 660, 601호 (천호동,천호엘크루주상복합)",,,,,상품 종합 도매업,,,,신규,,,
블랙쎄븐,C0000016,30067,,법인 또는 기타사업자,2009-06-24,이상수,"경기 용인시 기흥구 동탄기흥로 748, 3층 (고매동)",,,,,육류 도매업,축산물,,,신규,https://www.sevengm.co.kr/,,
(주) 더미트정,C0000015,1115599,1115599,법인 또는 기타사업자,2024-10-30,정지환,"경기 용인시 기흥구 동백3로11번길 33, 801동 807호 (중동,새롬프라자)",,,01091611452,축육(도매),기타 신선식품 및 단순 가공식품 도매업,,2025-01-10,"말일 마감, 당월 말일, 현금결제(영업)",신규,,,
(주)더베테랑,C0000014,66030,1114866,법인 또는 기타사업자,2021-06-23,전요한,"서울 성동구 성수이로 118, 327호 (성수동2가,성수아카데미타워), 경기도 광주시 도척면 진우리 555-23, -3",,,02-462-0796,축육(가공장),육류 도매업,수입돈육,2025-02-14,"15일단위 마감, 30일이내, 현금결제(영업)",신규,,,
(주) 소우람,C0000013,66028,1114864,법인 또는 기타사업자,2016-05-24,박성열,경기 남양주시 진건읍 고재로 179-1 (배양리),,,070-8806-5502,축육(가공장),육류 포장육 및 냉동육 가공업 (가금류 제외),양념육 외,2025-01-16,"15일단위 마감, 30일이내, 현금결제(영업)",신규,https://sowooram.modoo.at/,,
(주) 해광,C0000012,66084,1114884,법인 또는 기타사업자,2024-10-16,위형주,"서울 송파구 법원로 114, B동 1008호 (문정동,엠스테이트)",,,070-8211-0940,축육(가공장),상품 종합 도매업,,2025-02-07,"15일단위 마감, 30일이내, 현금결제(영업)",기존,,,
(주) 덕일에프엔에스,C0000011,66072,1114881,법인 또는 기타사업자,2018-10-11,이충덕,경기 고양시 일산동구 성석로 217-8 (성석동),,,010-2307-4565,축육(가공장),경영 컨설팅업,족발집/체인 족발 납품 전문,2025-01-07,"15일단위 마감, 30일이내, 현금결제(영업)",기존,https://duck-il.net/,,
(주) 에이푸드원,C0000010,66079,1114883,법인 또는 기타사업자,2024-10-04,박노우,경기 고양시 일산동구 성석로 217-10 (성석동),,,010-6519-0245,축육(가공장),기타 과실ㆍ채소 가공 및 저장 처리업,족발/보쌈 전문제조,2025-01-14,"말일 마감, 10일이내, 현금결제(영업)",기존,https://afoodone.kr/,,
(주) 케이팩토리,C0000009,62116G,1114724,법인 또는 기타사업자,2020-12-11,이상훈,"경기 용인시 기흥구 동탄기흥로 776, 2층 (고매동,강동냉장)",,,031-281-7271,축육(가공장),"산업용 농·축산물, 섬유 원료 및 동물 중개업",식육류,2025-05-07,"15일단위 마감, 30일이내, 현금결제(영업)",기존,,,
(주) 미트박스글로벌,C0000008,1114859,1114859,법인 또는 기타사업자,2014-05-19,김기봉,서울 강남구 테헤란로34길 22 (역삼동),,,010-4677-4384,축육(가공장),육류 도매업,식육 및 축산물 유통판매,2025-01-07,"15일단위 마감, 30일이내, 현금결제(영업)",기존,www.meatbox.co.kr,,
영조축산,C0000007,13399,,개인사업자,1987-02-10,박영조,서울 성동구 고산자로 344 (마장동),,,,,육류 도매업,,,,기존,,,
(주)용범상사,C0000006,64012,1114788,법인 또는 기타사업자,2021-06-22,김세범,"경기 성남시 수정구 산성대로 267, 517호 (신흥동,신흥역시네마타워)",,,031-734-1117,축육(도매),육류 도매업,,2025-03-04,"15일단위 마감, 30일이내, 현금결제(영업)",기존,,,
(주)동탄미트,C0000005,00019,1114921,법인 또는 기타사업자,2014-05-01,김천환,경기 화성시 동탄공원로1길 16-32 (반송동),,,031-8003-9382,축육(도매),육류 도매업,식육,2025-02-19,"말일 마감, 15일이내, 현금결제(영업)",기존,,,
