회사코드	회사명	고객분류	회사유형	사업자등록번호	설립일	대표자명	본사 주소	시/구	공장 주소	대표전화	업종명	주요제품	웹사이트	참고사항	SAP코드여부	SAP거래처코드	사업	사업부	지점/팀	팀명	사원번호	영업 사원	유통형태코드	유통형태	거래처 담당자	담당자 연락처	코드생성일	거래시작일	결제조건
C0000029	(주) 아슬란푸드	기존		1198701420		박준영	서울특별시 금천구 시흥대로90길 42 (독산동) (독산동,1층)	서울특별시 금천구		02-808-0407					매입매출	1114527	1033	축산유통사업부	382	도매영업팀	250012	김 예지	J7030	축육(도매)	박준영	02-808-0407	2024-12-20		15일단위 마감, 30일이내, 현금결제(영업)
C0000030	(주) 바른축산	기존		4978100085		엄길만	경기도 수원시 권선구 곡반정로13번길 16-30 (곡반정동) 1층 (곡반정동)	경기도 수원시		031-232-1057						1114528	1033	축산유통사업부	383	신경로영업팀	250017	조 성욱	J7030	축육(도매)	엄길만	031-232-1057	2024-12-20		10일단위 마감, 10일이내, 현금결제(영업)
C0000031	(주)승리미트	기존		1378647825		김승범	인천광역시 부평구 백범로577번길 15-19 (십정동) 3층 (십정동)	인천광역시 부평구		032-881-0099						1114529	1033	축산유통사업부	382	도매영업팀	250012	김 예지	J7030	축육(도매)	김승범	032-881-0099	2024-12-20		15일단위 마감, 30일이내, 현금결제(영업)
C0000032	(주)중앙통상에프에스	기존		3998800077		김리희	서울특별시 성동구 청계천로10나길 67-1 (마장동) 102호 (마장동)	서울특별시 성동구		070-8972-9693						1114530	1033	축산유통사업부	381	가공장영업팀	250011	임 수정	J7020	축육(가공장)	김리희	070-8972-9693	2024-12-20		15일단위 마감, 30일이내, 현금결제(영업)
C0000033	(주)굿모닝푸드	기존		1238606596		정진관	경기도 하남시 샘재로 76 (천현동) (천현동)	경기도 하남시		031-793-6673						1114531	1033	축산유통사업부	382	도매영업팀	250013	전 병희	J7030	축육(도매)	정진관	031-793-6673	2024-12-20		15일단위 마감, 30일이내, 현금결제(영업)
C0000034	(주)수성엔에스 서울지점	기존		2048530118		권치호	경기도 용인시 기흥구 공세로 16 (고매동) (고매동) 2층3호	경기도 용인시		070-4138-10445						1114532	1033	축산유통사업부	382	도매영업팀	250013	전 병희	J7030	축육(도매)	권치호	070-4138-1044,5	2024-12-20		15일단위 마감, 30일이내, 현금결제(영업)
C0000035	(주)미트내츄럴	기존		2168600633		공동환	경기도 용인시 수지구 죽전로 146 (죽전동) 202-1호 (죽전동,보람프라자)	경기도 용인시		031-898-4675						1114533	1033	축산유통사업부	382	도매영업팀	250013	전 병희	J7030	축육(도매)	공동환	031-898-4675	2024-12-20		15일단위 마감, 30일이내, 현금결제(영업)
C0000036	(주)일조미트	기존		1628800626		박진호	경기도 성남시 분당구 수내로 38 (수내동, 두산위브센티움1) 408호	경기도 성남시		031-712-6784						1114534	1033	축산유통사업부	382	도매영업팀	230111	이 태훈	J7030	축육(도매)	박진호	031-712-6784	2024-12-20	2025-05-15	15일단위 마감, 30일이내, 현금결제(영업)
C0000037	(주)미트시티	기존		1088616208		정혜민	경기도 남양주시 다산중앙로145번길 11 (다산동) 9층 907호 (지앤지메트로타워2)	경기도 남양주시		031-563-5625						1114535	1033	축산유통사업부	382	도매영업팀	250013	전 병희	J7030	축육(도매)	정혜민	031-563-5625	2024-12-20		15일단위 마감, 30일이내, 현금결제(영업)
C0000038	(유) 고은미트	기존		4188134374		고은정	전북특별자치도 전주시 덕진구 운암로 35-6 (팔복동2가) 1층 (팔복동2가)	전북특별자치도 전주시		063-213-4003						1114536	1033	축산유통사업부	381	가공장영업팀	250011	임 수정	J7020	축육(가공장)	고은정	063-213-4003	2024-12-20	2025-01-03	10일단위 마감, 10일이내, 현금결제(영업)
C0000039	(주) 정현미트	기존		7068600892		김현	광주광역시 광산구 임곡로 761 (도천동) (도천동)	광주광역시 광산구		062-959-7008						1114537	1033	축산유통사업부	381	가공장영업팀	250011	임 수정	J7020	축육(가공장)	김현	062-959-7008	2024-12-20	2025-01-03	10일단위 마감, 10일이내, 현금결제(영업)
C0000040	(주)노엘아이엔티	기존		7158700573		홍창기	경기도 하남시 미사강변중앙로 218 (망월동) (망월동, 성산타워) 301호	경기도 하남시		031-794-6570					매입매출	1114538	1033	축산유통사업부	382	도매영업팀	250013	전 병희	J7030	축육(도매)	홍창기	031-794-6570	2024-12-20		15일단위 마감, 30일이내, 현금결제(영업)
C0000041	(주)케이엠에스패밀리	기존		5188800789		문말수	서울특별시 강남구 봉은사로68길 41 (삼성동) 4층	서울특별시 강남구		02-2295-6078					매입매출	1114539	1033	축산유통사업부	382	도매영업팀	250013	전 병희	J7030	축육(도매)	문말수	02-2295-6078	2024-12-20		15일단위 마감, 30일이내, 현금결제(영업)
C0000042	(주) 오감미트	기존		5128600375		남상희	경기도 광주시 파발로 109 (경안동) (송정동)	경기도 광주시		031-761-86645						1114540	1033	축산유통사업부	382	도매영업팀	250013	전 병희	J7030	축육(도매)	남상희	031-761-8664~5	2024-12-20		15일단위 마감, 30일이내, 현금결제(영업)
C0000043	샘미트 (주)	기존		2338600467		한종선	경기도 남양주시 와부읍 안골로50번길 16-12 (도곡리)	경기도 남양주시		031-577-4030						1114541	1033	축산유통사업부	381	가공장영업팀	250011	임 수정	J7020	축육(가공장)	한종선	031-577-4030	2024-12-20	2025-01-20	15일단위 마감, 30일이내, 현금결제(영업)
C0000044	(주) 브라더컴퍼니	기존		7728800404		김승준	경기도 광주시 곤지암읍 광여로 842-11 (건업리) 102호	경기도 광주시		02-2291-7458						1114542	1033	축산유통사업부	382	도매영업팀	250013	전 병희	J7030	축육(도매)	김승준	02-2291-7458	2024-12-20		15일단위 마감, 30일이내, 현금결제(영업)
C0000045	우진미트 (유)	기존		5398101388		김홍수	경기도 성남시 분당구 정자일로 1 (금곡동, 코오롱트리폴리스1) C동 2611호	경기도 성남시		031-728-4488						1114543	1033	축산유통사업부	382	도매영업팀	250013	전 병희	J7030	축육(도매)	김홍수	031-728-4488	2024-12-20		15일단위 마감, 30일이내, 현금결제(영업)
C0000046	(주)엘에이치푸드	기존		1308672041		이철호	경기도 부천시 원미구 부흥로272번길 36 (중동) 1층 (중동)	경기도 부천시		010-5096-7835						1114544	1033	축산유통사업부	382	도매영업팀	230111	이 태훈	J7010	축육(실수요)	이철호	010-5096-7835	2024-12-20	2025-02-07	15일단위 마감, 30일이내, 현금결제(영업)
C0000047	(주)대우아이엔티	기존		1098621378		남구현	경기도 안산시 단원구 광덕동로 39 (고잔동) 502 (고잔동, 대우프라자)	경기도 안산시		031-403-05656						1114545	1033	축산유통사업부	382	도매영업팀	230111	이 태훈	J7010	축육(실수요)	남구현	031-403-0565~6	2024-12-20	2025-02-07	15일단위 마감, 30일이내, 현금결제(영업)
C0000048	하이미트(주)	기존		6068647355		민주호	부산광역시 강서구 대저중앙로394번가길 131 (대저1동) (대저1동)	부산광역시 강서구		051-342-2719						1114546	1033	축산유통사업부	382	도매영업팀	250012	김 예지	J7020	축육(가공장)	민주호	051-342-2719	2024-12-20	2025-02-05	15일단위 마감, 30일이내, 현금결제(영업)
C0000049	형제유통	기존		8169900336		신진숙	경기도 용인시 처인구 남사읍 경기동로 382-1 (아곡리)	경기도 용인시		010-2209-4209						1114547	1033	축산유통사업부	383	신경로영업팀	250017	조 성욱	J7020	축육(가공장)	신진숙	010-2209-4209	2024-12-20		10일단위 마감, 10일이내, 현금결제(영업)
C0000050	에이치비앤피농업회사법인	기존		5888600601		황석하	서울특별시 성동구 마장로 260 (마장동) 103,104호	서울특별시 성동구		02-2297-1225						1114548	1033	축산유통사업부	382	도매영업팀	230111	이 태훈	J7030	축육(도매)	황석하	02-2297-1225	2024-12-20	2025-02-07	말일 마감, 당월 말일, 현금결제(영업)
C0000051	(주) 거성	기존		1268177945		이상길	경기도 이천시 영창로 58 (관고동) (관고동)	경기도 이천시		031-636-2503						1114549	1033	축산유통사업부	383	신경로영업팀	250017	조 성욱	J7020	축육(가공장)	이상길	031-636-2503	2024-12-20		10일단위 마감, 10일이내, 현금결제(영업)
C0000052	MANA F&D(에프앤디)	기존		7972300194		이미선	경기도 고양시 덕양구 은빛로29번길 5-16 (화정동) (화정동) 1층	경기도 고양시		031-932-5458						1114550	1033	축산유통사업부	382	도매영업팀	250015	엄 재후	J7020	축육(가공장)	이미선	031-932-5458	2024-12-20		10일단위 마감, 10일이내, 현금결제(영업)
C0000053	농업회사법인 삼주농축산	기존		2328501544		이상준	경기도 포천시 소흘읍 무림길 61-1	경기도 포천시		070-7789-8247					매입매출	1114551	1033	축산유통사업부	383	신경로영업팀	250368	오 세훈	J7020	축육(가공장)	이상준	070-7789-8247	2024-12-20	2025-01-10	10일단위 마감, 10일이내, 현금결제(영업)
C0000054	(주) 예스팜랜드	기존		1288654787		김경진	경기도 파주시 장명산길 298 (오도동) (오도동)	경기도 파주시		031-948-5585						1114552	1033	축산유통사업부	383	신경로영업팀	250017	조 성욱	J7020	축육(가공장)	김경진	031-948-5585	2024-12-20		말일 마감, 당월 말일, 현금결제(영업)
C0000055	태호축산도매유통	기존		8869900562		용승원	서울특별시 중랑구 동일로114길 28-1 (상봉동) 1층 (상봉동)	서울특별시 중랑구		010-8338-0490						1114553	1033	축산유통사업부	383	신경로영업팀	250017	조 성욱	J7020	축육(가공장)	용승원	010-8338-0490	2024-12-20		10일단위 마감, 10일이내, 현금결제(영업)
C0000056	정원프로비전스(주)(행당)	기존		2338106694		서승찬	서울특별시 성동구 고산자로 284 (행당동) (행당동, 성동샤르망) 3층 307호	서울특별시 성동구		02-2282-0912						1114554	1033	축산유통사업부	382	도매영업팀	250012	김 예지	J7030	축육(도매)	서승찬	02-2282-0912	2024-12-20	2025-01-10	15일단위 마감, 30일이내, 현금결제(영업)
C0000057	(주) 푸드본	기존		2068631333		김태한	서울특별시 성동구 마장로31길 22 (마장동)	서울특별시 성동구		02-2292-8200						1114555	1033	축산유통사업부	382	도매영업팀	250013	전 병희	J7030	축육(도매)	김태한	02-2292-8200	2024-12-20		15일단위 마감, 30일이내, 현금결제(영업)
C0000058	(주)조이팜아이엔지	기존		7768102517		김태수	경기도 남양주시 별내중앙로 34 (별내동) 604-1호 (별내동, 로뎀타워)	경기도 남양주시		031-571-2947						1114556	1033	축산유통사업부	382	도매영업팀	250012	김 예지	J7030	축육(도매)	김태수	031-571-2947	2024-12-20		15일단위 마감, 30일이내, 현금결제(영업)
C0000059	(주)서울웰푸드	기존	법인	3478103002	2023-06-26	조용훈	서울특별시 강동구 풍성로42길 22 (성내동) 4층 (성내동)	서울특별시 강동구		02-6958-9229	상품 종합 도매업				매입매출	1114557	1033	축산유통사업부	382	도매영업팀	250012	김 예지	J7030	축육(도매)	장성호	02-6958-9229	2024-12-20	2025-01-09	15일단위 마감, 30일이내, 현금결제(영업)
C0000060	미야식품	기존	개인	1089304165	2021-12-24	황환규	경상남도 김해시 유하로226번길 86-8 (유하동) (유하동)	경상남도 김해시		010-6485-6097	도매 및 소매업 / 식육				매출	1114558	1033	축산유통사업부	382	도매영업팀	250012	김 예지	J7020	축육(가공장)	황환규		2024-12-20	2025-02-20	15일단위 마감, 30일이내, 현금결제(영업)
C0000061	(주)두드림푸드	기존		8588801707		문시현	인천광역시 중구 서해대로449번길 81 (신흥동1가) 1층 (신흥동1가)	인천광역시 중구		032-772-9969						1114559	1033	축산유통사업부	382	도매영업팀	250012	김 예지	J7030	축육(도매)	문시현	032-772-9969	2024-12-20		15일단위 마감, 30일이내, 현금결제(영업)
C0000062	(주)제이팜컴퍼니	기존		5668702061		장민선	경기도 용인시 기흥구 흥덕중앙로 55 (영덕동) 9층 917호 (영덕동, 리써밋타워)	경기도 용인시		031-548-0264					매출	1114560	1033	축산유통사업부	382	도매영업팀	250012	김 예지	J7030	축육(도매)	장민선	031-548-0264	2024-12-20		15일단위 마감, 30일이내, 현금결제(영업)
C0000063	(주)나루푸드	기존	법인	7828603331	2024-03-14	이희경	경기도 수원시 영통구 청명로21번길 19 (영통동) 375호 (영통동, 탑빌딩)	경기도 수원시		031-287-4464	육류 도매업				매입매출	1114561	1033	축산유통사업부	382	도매영업팀	250012	김 예지	J7030	축육(도매)	이희경	031-287-4464	2024-12-20		15일단위 마감, 30일이내, 현금결제(영업)
C0000064	(주)지앰푸드랩	기존	법인	3458603151	2024-03-19	지정숙	경기도 하남시 미사강변서로 25 (풍산동) 지1층 에프비147호 (풍산동)	경기도 하남시		031-8207-9095	그 외 기타 식료품 제조업		https://gmfoodlab.com/		매출	1114562	1033	축산유통사업부	381	가공장영업팀	250016	윤 영상	J7020	축육(가공장)	지정숙	031-8207-9095	2024-12-20		선입금(영업)
C0000065	(주) 오스퀸미트(AUS-QUEEN	기존		7538702286		김현수	경기도 성남시 분당구 황새울로319번길 6 (서현동) 416호 (서현동, 텍스타워)	경기도 성남시		010-8941-1590						1114563	1033	축산유통사업부	382	도매영업팀	250012	김 예지	J7030	축육(도매)	김현수	010-8941-1590	2024-12-20		15일단위 마감, 30일이내, 현금결제(영업)
C0000066	(주)늘품	기존		5398602868		유장욱	경기도 광주시 포은대로 426-5 (추자동) (추자동)	경기도 광주시		031-8027-0178						1114564	1033	축산유통사업부	382	도매영업팀	250012	김 예지	J7030	축육(도매)	유장욱	031-8027-0178	2024-12-20		15일단위 마감, 30일이내, 현금결제(영업)
C0000067	(주)아이피인터내셔널(IP INTERN	기존	법인	8738703177	2024-07-12	박명휘	경기도 수원시 권선구 동수원로146번길 43 (곡반정동) 2층 202호 (곡반정동, 승인빌딩)	경기도 수원시		031-892-7666	육류 도매업				매입매출	1114565	1033	축산유통사업부	382	도매영업팀	250012	김 예지	J7030	축육(도매)	박명휘	031-892-7666	2024-12-20	2025-01-09	15일단위 마감, 30일이내, 현금결제(영업)
C0000068	(주) 티제이에프	기존	법인	7188803523	2024-07-16	김다희	경기도 남양주시 별내중앙로 34 (별내동) 5층 502-에이59호 (별내동)	경기도 남양주시		070-8623-9119	상품 종합 도매업				매입매출	1114566	1033	축산유통사업부	382	도매영업팀	250012	김 예지	J7030	축육(도매)	김다희	070-8623-9119	2024-12-20	2025-01-07	15일단위 마감, 30일이내, 현금결제(영업)
C0000069	(주) 다한	기존		3158603198		엄윤식	경기도 안산시 단원구 광덕동로 71 (고잔동) 306호 (고잔동, 네오빌딩)	경기도 안산시		010-9925-0944					매입매출	1114567	1033	축산유통사업부	347	중부지점	240529	박 정우	J7030	축육(도매)	엄윤식	010-9925-0944	2024-12-20	2025-07-07	15일단위 마감, 30일이내, 현금결제(영업)
C0000070	모아	기존		1221825650		송국화	경기도 김포시 양촌읍 황금로 117 (메카존나동 531, 532호)	경기도 김포시		031-999-6998						1114568	1033	축산유통사업부	381	가공장영업팀	250016	윤 영상	J7020	축육(가공장)	송국화	031-999-6998	2024-12-20		15일단위 마감, 30일이내, 현금결제(영업)
C0000071	(주) 태온아이엔티	기존		8948701521		김윤회	서울특별시 성동구 고산자로 269 (도선동) 309호 (도선동, 신한넥스텔)	서울특별시 성동구		02-2282-3317						1114569	1033	축산유통사업부	383	신경로영업팀	250017	조 성욱	J7030	축육(도매)	김윤회	02-2282-3317	2024-12-20		말일 마감, 당월 말일, 현금결제(영업)
C0000072	(주) 이노미트	기존		1268623162		정인호	경기도 성남시 수정구 위례서일로 30 (창곡동) (창곡동) 2층 205호 (위례헤리움)	경기도 성남시		031-753-7782						1114570	1033	축산유통사업부	382	도매영업팀	250013	전 병희	J7030	축육(도매)	정인호	031-753-7782	2024-12-20		15일단위 마감, 30일이내, 현금결제(영업)
C0000073	(주)코스모미트트레이	기존		2068602686		김상인	경기도 광주시 순암로 536-7 (삼동) 1층 1호 (삼동)	경기도 광주시		031-767-6630						1114571	1033	축산유통사업부	382	도매영업팀	250012	김 예지	J7030	축육(도매)	김상인	031-767-6630	2024-12-20		15일단위 마감, 30일이내, 현금결제(영업)
C0000074	(주) 우왕	기존		7178800329		여왕우	서울특별시 성동구 마장로33길 75 (마장동) 309호 (마장동, 남일빌딩)	서울특별시 성동구		02-2291-9368						1114572	1033	축산유통사업부	382	도매영업팀	250012	김 예지	J7030	축육(도매)	여왕우	02-2291-9368	2024-12-20		15일단위 마감, 30일이내, 현금결제(영업)
C0000075	코와이드밸리(주)	기존		2148823686		조윤정	서울특별시 서초구 동산로13길 48 (양재동) 5층 (양재동,남서울빌딩)	서울특별시 서초구		02-578-8760						1114573	1033	축산유통사업부	382	도매영업팀	250013	전 병희	J7030	축육(도매)	조윤정	02-578-8760	2024-12-20		15일단위 마감, 30일이내, 현금결제(영업)
C0000076	(주) 에이브이미트	기존		1118600420		김성은	경기도 하남시 초이로92번길 16-16 (초이동) 1층 (초이동)	경기도 하남시		02-442-3260						1114574	1033	축산유통사업부	381	가공장영업팀	250016	윤 영상	J7020	축육(가공장)	김성은	02-442-3260	2024-12-20		15일단위 마감, 30일이내, 현금결제(영업)
C0000077	(주) 케이피푸드	기존		4258600969		김강석	인천광역시 연수구 하모니로178번길 22 (송도동) (송도동) 4층414호	인천광역시 연수구		032-833-7317						1114575	1033	축산유통사업부	382	도매영업팀	250012	김 예지	J7030	축육(도매)	김강석	032-833-7317	2024-12-20		15일단위 마감, 30일이내, 현금결제(영업)
C0000078	(주)칼도	기존		8138601485		김자숙	경기도 남양주시 와부읍 덕소로 33-7 204호	경기도 남양주시		031-510-1823						1114576	1033	축산유통사업부	382	도매영업팀	250013	전 병희	J7030	축육(도매)	김자숙	031-510-1823	2024-12-20		15일단위 마감, 30일이내, 현금결제(영업)
C0000079	(주) 미트매니아	기존		2148861787		오세형	서울특별시 서초구 논현로27길 98 (양재동) , 304 (양재동,두창빌딩)	서울특별시 서초구		02-529-3413						1114577	1033	축산유통사업부	382	도매영업팀	250013	전 병희	J7030	축육(도매)	오세형	02-529-3413	2024-12-20		15일단위 마감, 30일이내, 현금결제(영업)
